race_id,year,circuit_name,driver_code,team,lap_number,position,lap_time_s,sector1_s,sector2_s,sector3_s,compound,tyre_age_laps,stint_id,pit_in_flag,pit_out_flag,safety_car_flag,virtual_sc_flag,grid_position,finish_position,pit_stop_duration_s,meteo_temp_c_annual_med,meteo_wind_ms_annual_med,lap_time_s_lag1,lap_time_s_lag2,lap_time_s_lag3,delta_lap_vs_prev,avg_last_3_laps,pit_in_next2
2024_bahrain,2024,Bahrain,ALB,Williams,24,14.0,98.204,31.035,42.857,24.312,HARD,9.0,2,0,0,0,0,13.0,15.0,,28.9,14.8,97.869,98.031,97.918,0.33499999999999375,97.93933333333332,0
2024_bahrain,2024,Bahrain,ALB,Williams,25,14.0,98.226,31.095,42.952,24.179,HARD,10.0,2,0,0,0,0,13.0,15.0,,28.9,14.8,98.204,97.869,98.031,0.02200000000000557,98.03466666666667,0
2024_bahrain,2024,Bahrain,ALB,Williams,26,14.0,98.1,31.041,42.821,24.238,HARD,11.0,2,0,0,0,0,13.0,15.0,,28.9,14.8,98.226,98.204,97.869,-0.12600000000000477,98.09966666666666,0
2024_bahrain,2024,Bahrain,ALB,Williams,27,14.0,98.296,31.029,43.069,24.198,HARD,12.0,2,0,0,0,0,13.0,15.0,,28.9,14.8,98.1,98.226,98.204,0.19600000000001216,98.17666666666666,0
2024_bahrain,2024,Bahrain,ALB,Williams,28,13.0,98.048,31.108,42.692,24.248,HARD,13.0,2,0,0,0,0,13.0,15.0,,28.9,14.8,98.296,98.1,98.226,-0.24800000000000466,98.20733333333334,0
2024_bahrain,2024,Bahrain,ALB,Williams,29,12.0,97.879,31.127,42.585,24.167,HARD,14.0,2,0,0,0,0,13.0,15.0,,28.9,14.8,98.048,98.296,98.1,-0.16899999999999693,98.14799999999998,0
2024_bahrain,2024,Bahrain,ALB,Williams,30,12.0,97.968,31.045,42.634,24.289,HARD,15.0,2,0,0,0,0,13.0,15.0,,28.9,14.8,97.879,98.048,98.296,0.08899999999999864,98.07433333333334,0
2024_bahrain,2024,Bahrain,ALB,Williams,31,12.0,98.135,31.093,42.811,24.231,HARD,16.0,2,0,0,0,0,13.0,15.0,,28.9,14.8,97.968,97.879,98.048,0.1670000000000016,97.96499999999999,0
2024_bahrain,2024,Bahrain,ALB,Williams,32,11.0,98.183,31.143,42.707,24.333,HARD,17.0,2,0,0,0,0,13.0,15.0,,28.9,14.8,98.135,97.968,97.879,0.04800000000000182,97.99400000000001,0
2024_bahrain,2024,Bahrain,ALB,Williams,33,11.0,98.346,31.537,42.677,24.132,HARD,18.0,2,0,0,0,0,13.0,15.0,,28.9,14.8,98.183,98.135,97.968,0.1629999999999967,98.09533333333333,0
2024_bahrain,2024,Bahrain,ALB,Williams,34,11.0,97.75,31.413,42.368,23.969,HARD,19.0,2,0,0,0,0,13.0,15.0,,28.9,14.8,98.346,98.183,98.135,-0.5960000000000036,98.22133333333333,1
2024_bahrain,2024,Bahrain,ALB,Williams,35,10.0,97.767,31.295,42.496,23.976,HARD,20.0,2,0,0,0,0,13.0,15.0,,28.9,14.8,97.75,98.346,98.183,0.016999999999995907,98.093,1
2024_bahrain,2024,Bahrain,ALB,Williams,36,10.0,100.333,31.337,42.433,26.563,HARD,21.0,2,1,0,0,0,13.0,15.0,,28.9,14.8,97.767,97.75,98.346,2.5660000000000025,97.95433333333334,0
2024_bahrain,2024,Bahrain,ALB,Williams,37,16.0,117.632,52.093,41.867,23.672,HARD,1.0,3,0,1,0,0,13.0,15.0,24.682,28.9,14.8,100.333,97.767,97.75,17.299000000000007,98.61666666666667,0
2024_bahrain,2024,Bahrain,ALB,Williams,38,16.0,96.129,30.735,41.742,23.652,HARD,2.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,117.632,100.333,97.767,-21.503,105.24399999999999,0
2024_bahrain,2024,Bahrain,ALB,Williams,39,16.0,95.856,30.737,41.65,23.469,HARD,3.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,96.129,117.632,100.333,-0.27300000000001035,104.69800000000002,0
2024_bahrain,2024,Bahrain,ALB,Williams,40,16.0,95.723,30.707,41.503,23.513,HARD,4.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,95.856,96.129,117.632,-0.13299999999999557,103.20566666666667,0
2024_bahrain,2024,Bahrain,ALB,Williams,41,16.0,95.885,30.746,41.557,23.582,HARD,5.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,95.723,95.856,96.129,0.16200000000000614,95.90266666666668,0
2024_bahrain,2024,Bahrain,ALB,Williams,42,15.0,95.799,30.759,41.498,23.542,HARD,6.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,95.885,95.723,95.856,-0.08599999999999852,95.82133333333333,0
